"ExchangeID","Name","Description","XigniteSymbol","XigniteSuffix","CountryID","CurID","StartTID","EndTID"
79,"NEWZEALAND","New Zealand Stock Exchange","XNZE","NZ",54,12,61201,1
80,"NIGERIA","Nigerian Stock Exchange","XNSA","NI",27,43,10801,50401
81,"NIIGATA","Niigata Stock Exchange","XNII","NG",,,72001,25201
82,"NSE","National Stock Exchange of India","XNSE","NS",9,8,84901,34201
83,"NYSE","New York Stock Exchange (NYSE)","XNYS","NULL",1,25,34201,68401
84,"NYSEARCA","NYSE ARCA","ARCX","NULL",1,25,34201,68401
85,"OMAN","Muscat Stock Exchange","XMUS","OM",,,1801,37801
86,"OSAKA","Osaka Stock Exchange","XOSE","OK",3,9,72001,1
87,"OSLO","Oslo Stock Exchange","XOSL","OL",13,13,10801,41401
88,"OTCBB","NASDAQ OTCBB (Over the Counter Bulletin Board)","XOTC","NULL",1,25,32401,68401
89,"OTHEROTC","NASDAQ OTC Market","OOTC","NULL",1,25,28801,68401
90,"PALESTINE","Palestine Securities Exchange Nablus","XPAE","PS",,,7201,46801
91,"PARIS","Paris Stock Exchange","XPAR","PA",8,,10801,47701
92,"PINKSHEETS","Pink Sheets Llc (Nqb)","PINX","NULL",6,,28801,68401
93,"PLUS","PLUS Market Group","NULL","NULL",2,22,14401,43201
94,"PRAGUE","Prague Stock Exchange","XRMZ","PG",37,,32401,72001
95,"QUITO","Quito Stock Exchange","XQUI","QT",,25,32401,72001
96,"RIGA","Riga Stock Exchange","XRIS","LV",,,10801,25201
97,"RIODEJANEIRO","Rio De Janeiro Stock Exchange","XRIO","RJ",14,2,28801,54001
98,"RTSUSD","RTS Classic Market USD","RTSX","RUB",62,25,28801,68401
99,"SANTIAGO","Santiago Stock Exchange","XSGO","CL",21,32,28801,68401
100,"SAPPORO","Sapporo Stock Exchange","XSAP","PP",3,9,72001,25201
101,"SHANGHAI","Shanghai Stock Exchange","XSHG","SS",11,4,73801,7201
102,"SHENZEN","Shenzhen Stock Exchange","XSHE","SZ",11,4,73801,7201
103,"SINGAPORE","Singapore Stock Exchange","XSES","SI",18,14,75601,18001
104,"STOCKHOLM","Stockholm Stock Exchange","XSTO","ST",12,,10801,47701
105,"STPETERSBURG","St. Petersburg Stock Exchange","XPET","SP",,,3601,43201
106,"STUTTGART","Stuttgart Stock Exchange","XSTU","SG",5,6,10801,1
107,"SURABAYA","Surabaya Stock Exchange","XSUR","SU",,,81001,18001
108,"SWAZILAND","Swaziland Stock Exchange","XSWA","SL",,,7201,46801
109,"SWISS","Swiss Stock Exchange","XSWX","SW",70,19,10801,41401
110,"TAIWAN","Taiwan Stock Exchange","XTAI","TW",10,20,75601,5401
111,"TAIWANOTC","Taiwan OTC Market","ROCO","TWO",10,20,75601,7201
112,"TALLINN","Tallinn Stock Exchange","XTAL","EE",,,10801,25201
113,"TEHRAN","Tehran Stock Exchange","XTEH","IR",,,3601,39601
114,"TELAVIV","Tel Aviv Stock Exchange","XTAE","TA",19,37,9001,37801
115,"TOKYO","Tokyo Stock Exchange","XTKS","TSE",3,9,72001,1
116,"TSX","Toronto Stock Exchange","XTSE","TSX",4,3,34201,63001
117,"TSXV","Canadian Venture Exchange","XTSX","TSXV",1,3,34201,63001
118,"VALENCIA","Valencia Stock Exchange","XVAL","VA",,,10801,50401
119,"VIENNA","Vienna Stock Exchange","XWBO","VI",28,6,11701,41701
120,"VILNIUS","Vilnius Stock Exchange","XLIT","LT",,,10801,25201
121,"VIRTX","Virt-X","XVTX","VX",1,,10801,1
122,"WARSAW","Warsaw Stock Exchange","XWAR","WA",58,,10801,37201
123,"XETRA","XETRA Stock Exchange","XETR","DE",5,,10801,47701
124,"ZAGREB","Zagreb Stock Exchange","XZAG","ZB",35,,14401,36001
125,"ZIMBABWE","Zimbabwe Stock Exchange","XZIM","ZW",79,,7201,46801
126,"PSE","No Exchange","XPSE","PS",1,8,84901,84901
127,"HOSE","Ho Chi Minh City Stock Exchange","XSTC","NULL",24,42,10801,1
