DataID,Description,IsCurConverter,IsUnitConverter
1,Monetary,1,1
2,Value(Non Monetary),0,1
3,Percentage,0,0
4,Ratio,0,0
5,Decimal,0,1
6,Tuple,1,1
7,Shares,1,1
8,String,1,1
9,Date/Time,1,1
10,Number,0,0
11,Abstract,,
12,Area,0,0
13,Energy,0,0
14,Mass,0,0
15,PerShare,1,1
16,Volume,0,0
17,PerUnit,1,1
18,Interger,0,0
19,Xbrl custom,0,0
